,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
0,5479553,2025-01-01 12:37:00+00:00,12,Wednesday,January,0,Non-fatal injury,1,2,2,0,Rain,Rain,Wet,Wet,Daylight,Daylight,Front to Front,,T-intersection,Stop signs,42.29226434,-71.12191382
4,5479536,2025-01-01 07:40:00+00:00,7,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Cloudy/Rain,Rain,Wet,Wet,Other,Other,Angle,25.0,Not at junction,No controls,42.3516948,-71.08636058
23,5480432,2025-01-02 07:20:00+00:00,7,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Head-on,25.0,Four-way intersection,Traffic control signal,42.34971097,-71.13268238
35,5480045,2025-01-02 03:35:00+00:00,3,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Not at junction,No controls,42.30430062,-71.06964514
50,5479644,2025-01-01 01:37:00+00:00,1,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Head-on,25.0,Four-way intersection,Stop signs,42.38019294,-71.02574643
73,5480926,2025-01-03 08:57:00+00:00,8,Friday,January,0,Non-fatal injury,1,2,2,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Not reported,25.0,Four-way intersection,Traffic control signal,42.29298612,-71.09456337
88,5480819,2025-01-02 16:51:00+00:00,16,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,,Four-way intersection,Traffic control signal,42.31957167,-71.09841196
90,5480810,2025-01-02 14:30:00+00:00,14,Thursday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,25.0,Not at junction,Traffic control signal,42.32147328,-71.05677752
105,5480778,2025-01-02 16:30:00+00:00,16,Thursday,January,0,Non-fatal injury,1,3,1,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Not reported,,Not reported,Not reported,42.32951137,-71.05701732
107,5480774,2025-01-03 00:05:00+00:00,0,Friday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,Four-way intersection,Traffic control signal,42.27221639,-71.06801765
